feature,mean_abs_shap
sensor_473,0.017082986019065688
sensor_047,0.016771327223292113
sensor_177,0.016769425691942223
sensor_494,0.016078410793270458
sensor_012,0.01587333011824659
sensor_412,0.015809979576574477
sensor_471,0.015614190523110034
sensor_548,0.015597542108295741
sensor_083,0.015203820571954406
sensor_150,0.015144237640058355
sensor_426,0.015048779244668135
sensor_038,0.01500060010018496
sensor_138,0.014819506960898737
sensor_572,0.014601311149551295
sensor_589,0.014572759472237315
sensor_162,0.014537530976268297
sensor_208,0.014410931364485595
sensor_555,0.014300424753321961
sensor_035,0.014276301343865972
sensor_067,0.014041664986426278
sensor_493,0.01403730910806027
sensor_474,0.01401796080057872
sensor_041,0.013566490674914503
sensor_434,0.013490862215905827
sensor_120,0.013443787246825725
sensor_028,0.013423511888121874
sensor_550,0.01332642067085127
sensor_060,0.013118588689616047
sensor_223,0.012728532497010303
sensor_098,0.012673941835131534
sensor_526,0.012509393525492634
sensor_562,0.012174649485629747
sensor_136,0.01157420836820988
sensor_115,0.011528027071799219
sensor_482,0.011518480996613331
sensor_273,0.011385785000627506
sensor_046,0.011340170276125484
sensor_026,0.011232244399113725
sensor_468,0.010542424202241898
sensor_134,0.010437427363636505
sensor_438,0.010412638606807623
sensor_472,0.010374989908052887
sensor_018,0.010166423433923003
sensor_066,0.010105046866755278
sensor_442,0.009943597906166808
sensor_545,0.009719104181172823
sensor_155,0.009679403196097867
sensor_476,0.009365080261673812
sensor_485,0.009213427698816567
sensor_413,0.009113442354756227
sensor_170,0.009002639493492724
sensor_032,0.008645987353863417
sensor_418,0.008190966286766195
sensor_520,0.007979689019637262
sensor_023,0.007958070147659476
sensor_255,0.007758418654312626
sensor_167,0.0073947810485646154
sensor_051,0.007189172927917138
sensor_199,0.007065249179003487
sensor_166,0.0062020793098031
sensor_201,0.006033441145684882
sensor_040,0.0059151888159355666
sensor_062,0.005297408304624905
sensor_022,0.00529062342088503
sensor_061,0.005264277900791592
sensor_569,0.004874660935848703
sensor_487,0.0029454345627581103
sensor_074,0.0
sensor_072,0.0
sensor_337,0.0
sensor_521,0.0
sensor_564,0.0
