feature,importance,abs_importance
sensor_433,0.005639820958501271,0.005639820958501271
sensor_539,0.005635787006009368,0.005635787006009368
sensor_207,0.005629156796596911,0.005629156796596911
sensor_115,0.005608204621271851,0.005608204621271851
sensor_426,0.0055242192316384406,0.0055242192316384406
sensor_123,0.005474344979018523,0.005474344979018523
sensor_045,0.005464650736819823,0.005464650736819823
sensor_067,0.005462431087944683,0.005462431087944683
sensor_218,0.005416873991638195,0.005416873991638195
sensor_202,0.0053394154736111,0.0053394154736111
sensor_417,0.005211731977983331,0.005211731977983331
sensor_128,0.005195184754377838,0.005195184754377838
sensor_170,0.005181673423576944,0.005181673423576944
sensor_439,0.00501922868426148,0.00501922868426148
sensor_250,0.005011495114551111,0.005011495114551111
sensor_161,0.004998200953338538,0.004998200953338538
sensor_043,0.00494263267939856,0.00494263267939856
sensor_019,0.004887043546611966,0.004887043546611966
sensor_015,0.004883929141371252,0.004883929141371252
sensor_068,0.0048795673780542784,0.0048795673780542784
sensor_416,0.004872952842318891,0.004872952842318891
sensor_523,0.0048040531834185685,0.0048040531834185685
sensor_060,0.0047955685864611835,0.0047955685864611835
sensor_430,0.004794271622673281,0.004794271622673281
sensor_429,0.004789605929019795,0.004789605929019795
sensor_155,0.004774102196801434,0.004774102196801434
sensor_000,0.0047301157663629,0.0047301157663629
sensor_032,0.004637928221266497,0.004637928221266497
sensor_570,0.004595191615705459,0.004595191615705459
sensor_001,0.00456211953721265,0.00456211953721265
sensor_023,0.004533727462641529,0.004533727462641529
sensor_412,0.004529196893988321,0.004529196893988321
sensor_559,0.004524511861471845,0.004524511861471845
sensor_484,0.004520151901592264,0.004520151901592264
sensor_199,0.004505281524926768,0.004505281524926768
sensor_571,0.004502428633674391,0.004502428633674391
sensor_187,0.004494240241612861,0.004494240241612861
sensor_051,0.004489693689225122,0.004489693689225122
sensor_434,0.00447525478602067,0.00447525478602067
sensor_491,0.004467381524784025,0.004467381524784025
sensor_483,0.0044596512144921534,0.0044596512144921534
sensor_188,0.004454222098453067,0.004454222098453067
sensor_268,0.00442080588840968,0.00442080588840968
sensor_562,0.0044173816042739605,0.0044173816042739605
sensor_162,0.004410576445126672,0.004410576445126672
sensor_098,0.004401343073331159,0.004401343073331159
sensor_088,0.004392289378447493,0.004392289378447493
sensor_040,0.0043893647123135916,0.0043893647123135916
sensor_223,0.004374006531241495,0.004374006531241495
sensor_511,0.004347814617271838,0.004347814617271838
sensor_480,0.004338104487387543,0.004338104487387543
sensor_037,0.004310692572486695,0.004310692572486695
sensor_273,0.004308825054489691,0.004308825054489691
sensor_151,0.0043041306766523355,0.0043041306766523355
sensor_203,0.004277424630223747,0.004277424630223747
sensor_526,0.004268050775807879,0.004268050775807879
sensor_493,0.004253694040952471,0.004253694040952471
sensor_550,0.004253483367547255,0.004253483367547255
sensor_549,0.004248313927005969,0.004248313927005969
sensor_525,0.004240952377208532,0.004240952377208532
sensor_048,0.004233242582200146,0.004233242582200146
sensor_572,0.0042188645122636925,0.0042188645122636925
sensor_061,0.004198723285585161,0.004198723285585161
sensor_472,0.004171451841071828,0.004171451841071828
sensor_184,0.004114729396175986,0.004114729396175986
sensor_025,0.00410213910139766,0.00410213910139766
sensor_225,0.004101083094919074,0.004101083094919074
sensor_006,0.004096058207685446,0.004096058207685446
sensor_169,0.004025850280456266,0.004025850280456266
sensor_044,0.004018808007509772,0.004018808007509772
sensor_135,0.003996808251382104,0.003996808251382104
sensor_066,0.003965049649972384,0.003965049649972384
sensor_047,0.003948630874063738,0.003948630874063738
sensor_195,0.0039431901169768475,0.0039431901169768475
sensor_120,0.003926883459052268,0.003926883459052268
sensor_500,0.003904597989317639,0.003904597989317639
sensor_050,0.0039027872489320295,0.0039027872489320295
sensor_164,0.0038939542795138047,0.0038939542795138047
sensor_002,0.0038927104875135575,0.0038927104875135575
sensor_150,0.003880181099498528,0.003880181099498528
sensor_083,0.0038704192711450304,0.0038704192711450304
sensor_499,0.0038703507840369654,0.0038703507840369654
sensor_029,0.003858789902340829,0.003858789902340829
sensor_072,0.003840402226427893,0.003840402226427893
sensor_096,0.0038402458614739577,0.0038402458614739577
sensor_356,0.003814278897484851,0.003814278897484851
sensor_551,0.003794963807840711,0.003794963807840711
sensor_041,0.0037938515003533555,0.0037938515003533555
sensor_022,0.003770059524950466,0.003770059524950466
sensor_486,0.0037592228651019276,0.0037592228651019276
sensor_569,0.003733250462308554,0.003733250462308554
sensor_004,0.003697265621175723,0.003697265621175723
sensor_071,0.0036952635901303277,0.0036952635901303277
sensor_154,0.0036912842452075886,0.0036912842452075886
sensor_133,0.0036885725579655203,0.0036885725579655203
sensor_474,0.0036865854432845,0.0036865854432845
sensor_204,0.003634937254460434,0.003634937254460434
sensor_471,0.0036128834633269618,0.0036128834633269618
sensor_139,0.00361265786765197,0.00361265786765197
sensor_345,0.0036126303030094746,0.0036126303030094746
sensor_181,0.0036082137821325843,0.0036082137821325843
sensor_269,0.003599981299338181,0.003599981299338181
sensor_163,0.003564922093743755,0.003564922093743755
sensor_494,0.003517855367219195,0.003517855367219195
sensor_062,0.003514925596944261,0.003514925596944261
sensor_138,0.003509808012839186,0.003509808012839186
sensor_442,0.0035022378145387013,0.0035022378145387013
sensor_142,0.0034657239226254235,0.0034657239226254235
sensor_134,0.003457050139523448,0.003457050139523448
sensor_432,0.0034178275309146903,0.0034178275309146903
sensor_585,0.003387358399498563,0.003387358399498563
sensor_026,0.0033713383224427914,0.0033713383224427914
