sensor,rf_rank,xgb_rank,rf_composite_score,xgb_composite_score,rf_mean_abs_shap,xgb_mean_abs_shap,rf_shap_lift,xgb_shap_lift
sensor_182,78,36,0.1252153760226393,0.16841860648026297,0.0011935051984122,0.07692258243681126,0.0003348541356461,0.029918596917896677
sensor_155,37,100,0.1638445357593439,0.10019406566384172,0.0007101375368763,0.009679403196097867,0.0006963145003561,0.0008763005322783232
sensor_483,44,37,0.1548059776375513,0.16697563421299955,0.0005417487145535,0.030590364087651416,-6.055498985957224e-05,0.010038681355027253
sensor_250,49,38,0.1436287258681526,0.1610536443779506,0.0010726249973471,0.05700616821886982,-0.0005274555791782,-0.03709317934596608
sensor_563,38,45,0.1628369662840744,0.1454797727879687,0.0015724663273264,0.06191223328030536,0.0004979903323965,0.03585879987561937
sensor_491,39,40,0.1608029242325213,0.15695206937697567,0.0009596190316629,0.042504151752455914,-0.0002335734300063,0.016228473437955297
sensor_549,58,39,0.1394921195078945,0.1586111479419433,0.0006448519709059,0.03815700114050478,-3.315508336291302e-05,0.012604036675025108
sensor_025,81,41,0.1234126655837551,0.15602282002603707,0.0004502105307853,0.039005981417343905,6.463051786386446e-05,0.006269623141906029
sensor_433,41,89,0.1595443044315015,0.10684779152476928,0.0012772780503411,0.029583962955267395,-4.10866201332336e-05,0.010797672838700173
sensor_037,42,56,0.1585422627184112,0.13367029052490198,0.0008319074863143,0.026742938191066046,0.0001307395597985,-0.005546539163200543
sensor_071,111,42,0.1015936278330221,0.15085124897682267,0.0003329377538409,0.04145427123132564,-7.057625938306945e-05,-0.009702850747511253
sensor_139,67,43,0.1308654352226725,0.15002949062323925,0.000548370885224,0.0366812569118486,2.5434554820102656e-05,-0.0034219165203801735
sensor_356,71,44,0.1291003537060034,0.14643080637638456,0.0005309258639247,0.03764115900294723,-0.0004348056645861,-0.013383476438182846
sensor_063,45,52,0.1499513292845431,0.13972202356044186,0.0008461311773526,0.041271364298340676,0.0006175264893908,0.011187723164014365
sensor_115,47,116,0.1466757493882175,0.08393077323213372,0.0008597266130264,0.011528027071799219,0.000459018993618,0.0070003969842759445
sensor_419,187,47,0.0436923919674158,0.145036723970503,0.000499769752297,0.07438572120200809,-4.6833258504727664e-06,-0.01897372969841521
sensor_117,87,48,0.1200286717166264,0.14295666837934315,0.0009143858733129,0.05678693500977524,0.0005969974371002,0.027921972315868935
sensor_471,50,49,0.1431145779403479,0.14243467765377812,0.000412500570836,0.015614190523110034,4.5418443472757165e-05,-0.013411531006998642
