trial_id,emb_dim,hidden_size,num_layers,dropout,lr,batch_size,val_loss,val_pr_auc,val_roc_auc,n_params,checkpoint_path,status,error
trial_011,8,32,2,0.3,0.0003,64,1.2191548546155293,0.1133991524043319,0.6281779661016949,12049,models\sequence_sweep\trial_011\sequence_gru.pt,ok,
trial_035,8,128,2,0.3,0.0003,64,1.5427513420581818,0.11335691819764615,0.5754472693032016,154129,models\sequence_sweep\trial_035\sequence_gru.pt,ok,
trial_016,8,64,2,0.1,0.001,32,2.9720967983206115,0.11184716659891594,0.6873822975517891,40977,models\sequence_sweep\trial_016\sequence_gru.pt,ok,
trial_014,8,64,1,0.0,0.0003,32,1.2329495549201965,0.11110725579838888,0.6521892655367232,16017,models\sequence_sweep\trial_014\sequence_gru.pt,ok,
trial_027,8,128,1,0.0,0.0003,64,1.173802137374878,0.11037755940388644,0.6632532956685498,55057,models\sequence_sweep\trial_027\sequence_gru.pt,ok,
trial_012,8,64,1,0.0,0.001,32,2.3254279717803,0.10996311361737009,0.655484934086629,16017,models\sequence_sweep\trial_012\sequence_gru.pt,ok,
trial_010,8,32,2,0.3,0.0003,32,1.219114417831103,0.1099577652646126,0.6566619585687382,12049,models\sequence_sweep\trial_010\sequence_gru.pt,ok,
trial_049,16,64,1,0.0,0.001,64,1.8296218911806743,0.10916976496311959,0.615936911487759,19105,models\sequence_sweep\trial_049\sequence_gru.pt,ok,
trial_007,8,32,2,0.1,0.0003,64,1.2098529934883118,0.1080807748882055,0.6364171374764596,12049,models\sequence_sweep\trial_007\sequence_gru.pt,ok,
trial_005,8,32,2,0.1,0.001,64,2.0067343711853027,0.10731457729222449,0.6300612052730696,12049,models\sequence_sweep\trial_005\sequence_gru.pt,ok,
trial_054,16,64,2,0.1,0.0003,32,1.361115242044131,0.10679410571165811,0.634063088512241,44065,models\sequence_sweep\trial_054\sequence_gru.pt,ok,
trial_006,8,32,2,0.1,0.0003,32,1.2150940547386806,0.10603637106403732,0.6621939736346516,12049,models\sequence_sweep\trial_006\sequence_gru.pt,ok,
trial_085,32,64,1,0.0,0.001,64,1.7232093910376232,0.10598081140842137,0.6285310734463276,25281,models\sequence_sweep\trial_085\sequence_gru.pt,ok,
trial_098,32,128,1,0.0,0.0003,32,1.8423287570476532,0.10541703043194622,0.5187146892655368,68929,models\sequence_sweep\trial_098\sequence_gru.pt,ok,
trial_070,16,128,2,0.3,0.0003,32,1.7242948437730472,0.10498951301889427,0.6424199623352166,158753,models\sequence_sweep\trial_070\sequence_gru.pt,ok,
trial_076,32,32,2,0.1,0.001,32,2.6073878034949303,0.10497234180391629,0.6513653483992466,19009,models\sequence_sweep\trial_076\sequence_gru.pt,ok,
trial_037,16,32,1,0.0,0.001,64,1.437946617603302,0.10463803197735916,0.6265301318267421,8033,models\sequence_sweep\trial_037\sequence_gru.pt,ok,
trial_081,32,32,2,0.3,0.001,64,1.5193921724955242,0.1032321127443883,0.6757297551789078,19009,models\sequence_sweep\trial_081\sequence_gru.pt,ok,
trial_091,32,64,2,0.1,0.0003,64,1.347703476746877,0.10317360073393557,0.6101694915254237,50241,models\sequence_sweep\trial_091\sequence_gru.pt,ok,
trial_052,16,64,2,0.1,0.001,32,3.8204446248710155,0.10210936809086583,0.59310263653484,44065,models\sequence_sweep\trial_052\sequence_gru.pt,ok,
trial_013,8,64,1,0.0,0.001,64,1.3173720240592957,0.10082635833517194,0.6807909604519774,16017,models\sequence_sweep\trial_013\sequence_gru.pt,ok,
trial_058,16,64,2,0.3,0.0003,32,1.4086658482750256,0.10029578582936916,0.6258239171374765,44065,models\sequence_sweep\trial_058\sequence_gru.pt,ok,
trial_009,8,32,2,0.3,0.001,64,1.6481318672498066,0.09990780669201971,0.6198210922787194,12049,models\sequence_sweep\trial_009\sequence_gru.pt,ok,
trial_055,16,64,2,0.1,0.0003,64,1.271131654580434,0.09563981702329138,0.6253531073446328,44065,models\sequence_sweep\trial_055\sequence_gru.pt,ok,
trial_099,32,128,1,0.0,0.0003,64,1.3713774879773457,0.09562887528295817,0.629590395480226,68929,models\sequence_sweep\trial_099\sequence_gru.pt,ok,
trial_059,16,64,2,0.3,0.0003,64,1.2616759141286213,0.0951325693070785,0.608286252354049,44065,models\sequence_sweep\trial_059\sequence_gru.pt,ok,
trial_051,16,64,1,0.0,0.0003,64,1.2513850927352905,0.09473735198797882,0.5501412429378532,19105,models\sequence_sweep\trial_051\sequence_gru.pt,ok,
trial_003,8,32,1,0.0,0.0003,64,1.2420783638954163,0.09358760385325389,0.586864406779661,5713,models\sequence_sweep\trial_003\sequence_gru.pt,ok,
trial_077,32,32,2,0.1,0.001,64,1.8596892555554707,0.09318032194785363,0.605343691148776,19009,models\sequence_sweep\trial_077\sequence_gru.pt,ok,
trial_094,32,64,2,0.3,0.0003,32,1.3509678294261296,0.09302840781994881,0.6301789077212806,50241,models\sequence_sweep\trial_094\sequence_gru.pt,ok,
trial_050,16,64,1,0.0,0.0003,32,1.2594167614976566,0.09186643907931796,0.6032250470809792,19105,models\sequence_sweep\trial_050\sequence_gru.pt,ok,
trial_080,32,32,2,0.3,0.001,32,1.7810693234205246,0.09048121598995837,0.6208804143126176,19009,models\sequence_sweep\trial_080\sequence_gru.pt,ok,
trial_090,32,64,2,0.1,0.0003,32,1.42554771900177,0.08958944895314608,0.6031073446327684,50241,models\sequence_sweep\trial_090\sequence_gru.pt,ok,
trial_048,16,64,1,0.0,0.001,32,2.2409762740135193,0.08610475298112709,0.6058145009416196,19105,models\sequence_sweep\trial_048\sequence_gru.pt,ok,
trial_104,32,128,2,0.3,0.001,32,4.756946995233496,0.08070239606780097,0.5789783427495292,168001,models\sequence_sweep\trial_104\sequence_gru.pt,ok,
