sensor,mean_abs_shap,shap_lift,spc_flag_rate
sensor_132,0.0009579678153080589,8.37999091460961e-05,0.0
sensor_015,0.0009486917262713215,9.087027442273148e-06,0.0
sensor_423,0.0009469043501234933,-0.0001738431539945964,0.012711864406779662
sensor_573,0.0009443341045073146,0.0009763538720035259,0.03389830508474576
sensor_043,0.0009364091512079534,-0.00015729234190126556,0.00847457627118644
sensor_010,0.0009320511821932474,0.000242609581629766,0.00423728813559322
sensor_113,0.0009298177504150901,-4.741526991216203e-05,0.0
sensor_054,0.00091129828237759,-0.00023492517404137336,0.00847457627118644
sensor_060,0.0008951926528970799,0.0002739817726046955,0.00847457627118644
sensor_050,0.0008660788252900621,-0.0001478562905174515,0.00847457627118644
sensor_201,0.0008560815190310569,5.250134564713515e-05,0.00423728813559322
sensor_076,0.0008541485961980774,0.0003511844404758846,0.00423728813559322
sensor_107,0.0008453801252910505,-0.00046656262314239804,0.01694915254237288
sensor_483,0.0008450869047180534,1.2044757678443778e-05,0.01694915254237288
sensor_418,0.000839551793355274,1.4821747237996183e-05,0.0
sensor_202,0.0008374887703009078,0.0004225778633342259,0.00423728813559322
sensor_153,0.00083584644078403,0.0007524441080366994,0.0
sensor_061,0.0008343194466432468,-1.8325987745320233e-05,0.01694915254237288
sensor_432,0.0008213930787460064,-0.0007635927328683956,0.00847457627118644
sensor_412,0.0008173171631037496,-0.0003201658380036101,0.03389830508474576
sensor_117,0.0008017162453606331,0.00015310797687439768,0.0
sensor_159,0.000801673791646886,0.00011990289644448504,0.0211864406779661
sensor_024,0.0008006107689788503,-0.0006424306730549694,0.03389830508474576
sensor_171,0.0007991992589964537,0.00014688296660388548,0.012711864406779662
sensor_067,0.000792734215631015,0.0003844422018373217,0.0
sensor_080,0.0007924321357737447,-2.967078678936091e-05,0.0
sensor_273,0.0007908634975055075,-0.0001492678394689271,0.00847457627118644
sensor_270,0.0007841084946819833,-7.510877502675771e-05,0.01694915254237288
sensor_176,0.000770563844146331,-5.794868231364023e-05,0.0
sensor_164,0.0007625544388093448,-0.00023115280334696893,0.0211864406779661
sensor_045,0.0007575617224774779,0.00023237745652852608,0.00847457627118644
sensor_583,0.0007543747678371623,3.138228655585742e-05,0.0
sensor_269,0.0007494861920895544,-0.0002964342648346303,0.012711864406779662
sensor_254,0.0007389656749317115,9.50586004902204e-05,0.0
sensor_007,0.0007351335263254118,0.0002471165665163359,0.00847457627118644
sensor_018,0.000721734119645202,0.0005135723496021363,0.00423728813559322
sensor_134,0.0007211412757233092,0.00036069068812479726,0.0
sensor_048,0.0007135984535436175,-0.00018135936365465,0.00847457627118644
sensor_499,0.0006959326153013457,5.664266870385079e-05,0.0
sensor_487,0.0006918758411883773,0.0003634835357554299,0.0
sensor_012,0.0006913880692976697,-5.2412793113191494e-05,0.00423728813559322
sensor_011,0.000690412559950855,7.609597137294024e-05,0.0
sensor_156,0.0006884120738629051,-0.00021168577009059546,0.0
sensor_184,0.0006821874293449959,0.00011102352223593924,0.00423728813559322
sensor_155,0.0006775956020500544,0.0001770375285423258,0.00423728813559322
sensor_560,0.0006752274142745571,-0.00025112950690688696,0.025423728813559324
sensor_066,0.0006733898533962412,5.648497162654413e-06,0.00847457627118644
sensor_100,0.0006637266604537778,2.645805271845861e-05,0.00847457627118644
sensor_053,0.0006611699649368573,0.00019184699962765059,0.00847457627118644
sensor_025,0.0006529985853028274,-0.00011293206331022145,0.0211864406779661
sensor_006,0.0006494684739366351,0.00018642522942656536,0.0
sensor_137,0.0006466209110121839,0.00022558679284702006,0.00423728813559322
sensor_170,0.0006417407754079866,-0.00032734579935669216,0.0
sensor_196,0.0006414580453154692,4.43858750892268e-05,0.00423728813559322
sensor_138,0.0006408533342539898,-3.6213596084999096e-05,0.025423728813559324
sensor_212,0.0006395229760078091,-0.0002722621756071404,0.012711864406779662
sensor_017,0.0006391730401362924,-0.00015190156675861941,0.0
sensor_044,0.0006388247673792947,-3.0257210994013282e-05,0.00423728813559322
sensor_210,0.0006357561712166453,0.000857646926738627,0.029661016949152543
sensor_151,0.0006328207150541185,-0.00039516337490488494,0.00847457627118644
sensor_026,0.0006327159278790271,-0.0003860968901588121,0.0211864406779661
sensor_543,0.0006299388289665744,0.00013295051236416754,0.012711864406779662
sensor_046,0.0006275548312975199,-0.00012956727387189915,0.00423728813559322
sensor_083,0.0006205041706364771,0.0005533313366231274,0.0
sensor_001,0.0006181015497962431,-0.0002578623781088862,0.00423728813559322
sensor_472,0.0006174999147673918,0.00013060548368924222,0.0
sensor_253,0.000607899265146441,0.00024354880648228192,0.00423728813559322
sensor_041,0.0006024359173430459,0.0005469347772375181,0.00847457627118644
sensor_473,0.0005986228407691374,-0.0005115232923690167,0.01694915254237288
sensor_139,0.0005957722365262984,-0.0001726448882228359,0.03389830508474576
sensor_029,0.0005956416943437367,3.1620380375985936e-05,0.00847457627118644
sensor_199,0.0005934729473668775,0.00021718236212220693,0.00423728813559322
sensor_589,0.0005910442014207798,-0.00013593746146286172,0.038135593220338986
sensor_250,0.0005906575596424476,0.00032251768986604,0.00423728813559322
sensor_062,0.0005861729578082622,0.0004769303064012357,0.00847457627118644
sensor_251,0.0005828756253728541,-0.0002442546834526886,0.0
sensor_075,0.0005790435534927278,-0.0006140946919469973,0.012711864406779662
sensor_082,0.0005730913691657088,-9.864713100325742e-05,0.012711864406779662
sensor_128,0.0005728370156946772,0.0003345678301993137,0.0
sensor_004,0.0005707651973539342,0.00013983914136997814,0.00847457627118644
sensor_337,0.0005698784251493925,-0.00019004213638893803,0.00423728813559322
sensor_020,0.0005680845644156088,0.00015402893734388747,0.00423728813559322
sensor_208,0.0005679902810359604,-0.00018319888879164833,0.0
sensor_150,0.0005610177361665362,-6.416017104668922e-05,0.012711864406779662
sensor_500,0.0005599433405677608,1.276337311181085e-05,0.0
sensor_219,0.0005580474731208982,6.483992055483667e-05,0.012711864406779662
sensor_162,0.0005561035644151961,-0.00013009420994187335,0.01694915254237288
sensor_092,0.0005505965892932908,-3.492529052124894e-05,0.00847457627118644
sensor_032,0.0005471731587199927,0.00011879346850121602,0.012711864406779662
sensor_225,0.0005455186266768894,0.00012033003166224629,0.0211864406779661
sensor_034,0.0005420086363747528,3.647232248602771e-05,0.012711864406779662
sensor_439,0.0005373148591088343,-0.0002612714437914951,0.00423728813559322
sensor_047,0.0005317572136358779,0.00039657147671224826,0.00423728813559322
sensor_476,0.0005311567319905077,-0.00010126317173800778,0.00847457627118644
sensor_434,0.0005276257534296941,0.0006940256307903109,0.0211864406779661
sensor_009,0.0005274729245811364,7.25161532453093e-05,0.00847457627118644
sensor_471,0.0005237507144144808,-2.0201644168198822e-05,0.00423728813559322
sensor_215,0.0005226549783360477,-0.0002912830759589234,0.0
sensor_168,0.000514487373674209,-0.0003234570120326236,0.00423728813559322
