sensor,mean_abs_shap,shap_lift,spc_flag_rate,composite_score
sensor_442,0.009943597906166808,0.003121669711473592,0.022292993630573247,0.1021200690943236
sensor_128,0.023341118842543168,0.0024687281156885836,0.01592356687898089,0.10207635047121633
sensor_016,0.0429607000070881,0.0017994832036192275,0.006369426751592357,0.10136099698785139
sensor_485,0.009213427698816567,0.0036959906602215516,0.022292993630573247,0.10118907802339538
sensor_155,0.009679403196097867,0.0008763005322783232,0.022292993630573247,0.10019406566384172
sensor_555,0.014300424753321961,-0.0016739890587563885,0.01910828025477707,0.09719258068820738
sensor_161,0.02323427045414713,-0.013026345347595183,0.012738853503184714,0.0969601085211378
sensor_070,0.03821970439814833,0.00486274312850149,0.006369426751592357,0.09488476728487816
sensor_269,0.01870286518942741,0.0028780714846600775,0.01592356687898089,0.09406428361702604
sensor_218,0.03680472064054806,0.005668845356302368,0.006369426751592357,0.09288183226749551
sensor_473,0.017082986019065688,0.003061920438142523,0.01592356687898089,0.0912926099301451
sensor_468,0.010542424202241898,0.0018887447091098354,0.01910828025477707,0.09062532484274427
sensor_029,0.02670198196591217,-0.009272761983333338,0.009554140127388535,0.08895219595389
sensor_138,0.014819506960898737,-0.0040061907275572625,0.01592356687898089,0.08786498935858345
sensor_489,0.03900277364725074,0.009403266701085402,0.0031847133757961785,0.08745880985624183
sensor_589,0.014572759472237315,0.0038042317155755137,0.01592356687898089,0.08729382650751022
sensor_474,0.01401796080057872,-0.005236003533463279,0.01592356687898089,0.08723124615879081
sensor_133,0.03903133211358952,0.026419610720471103,0.0,0.0867681216617523
sensor_044,0.025776582459072363,-0.0071874562929937335,0.009554140127388535,0.08594992156639314
sensor_045,0.033354278376498736,-0.00280812362308085,0.006369426751592357,0.08487116227326029
sensor_115,0.011528027071799219,0.0070003969842759445,0.01592356687898089,0.08393077323213372
sensor_151,0.021932431509113785,0.014165569670656797,0.009554140127388535,0.08361017505512017
