feature,mean_abs_shap
sensor_029,0.007927732457335787
sensor_136,0.007924572814670074
sensor_163,0.007691356824709838
sensor_412,0.007470719682090017
sensor_195,0.007470621878330183
sensor_471,0.007454180579715699
sensor_051,0.007445179619830628
sensor_061,0.0067791262097892935
sensor_037,0.0067507553949802835
sensor_035,0.006732088274761942
sensor_167,0.0067046115037453
sensor_483,0.006577228521675617
sensor_472,0.0065001292223843005
sensor_151,0.00643956992382521
sensor_476,0.0064157247977780964
sensor_159,0.006051892774443125
sensor_001,0.005661434872014848
sensor_555,0.005564423748632067
sensor_551,0.0055572746223091826
sensor_023,0.0055278466421664575
sensor_430,0.005328328558307938
sensor_072,0.0051745237126502195
sensor_162,0.0050989564268757006
sensor_039,0.004977999307150551
sensor_139,0.004927964620254623
sensor_041,0.004837287341944103
sensor_546,0.004659218825418041
sensor_181,0.004273551570914602
sensor_098,0.004182152186867751
sensor_419,0.004140210607397066
sensor_426,0.004015273423663717
sensor_494,0.0039218411145703165
sensor_432,0.0038538957850155595
sensor_067,0.0037656282648750607
sensor_196,0.003701281333584723
sensor_223,0.0036328464324133346
sensor_066,0.0036225512962395666
sensor_002,0.0033634608290034423
sensor_270,0.003134378169050451
sensor_012,0.0031237290014013448
sensor_487,0.00309083539706811
sensor_482,0.003082903518174338
sensor_438,0.003082490798378758
sensor_269,0.0029847207089596667
sensor_034,0.0029272996382345316
sensor_444,0.002599382517693506
sensor_083,0.002347041877505979
sensor_549,0.0022639939379859773
sensor_187,0.002041156546097466
sensor_525,0.0019834178691668187
sensor_120,0.0019015396946315743
sensor_164,0.0018688708688996641
sensor_135,0.0018558775744297769
sensor_003,0.0018530237917781815
sensor_550,0.0018245851357745302
sensor_202,0.0017396805371236142
sensor_026,0.0015909636732118965
sensor_117,0.0015815457643025418
sensor_073,0.0015698694106908414
sensor_015,0.0014965732733219893
sensor_184,0.001399393723279222
sensor_198,0.001239221225367943
sensor_523,0.0011983780462877425
sensor_500,0.0011818613942720137
sensor_068,0.0011518749119707587
sensor_585,0.0011487366470863793
sensor_255,0.0011486242098824985
sensor_420,0.001097836281755906
sensor_520,0.0010622724735249054
sensor_570,0.0009970484459850184
sensor_345,0.0009571200814797791
sensor_336,0.0009214664428255172
sensor_548,0.0008968218009294399
sensor_559,0.0008822891823852334
sensor_564,0.0007801970035480233
sensor_429,0.0006964318418762338
sensor_199,0.0006044097135515095
sensor_207,0.0005539042131611825
sensor_096,0.0003400435043524957
sensor_016,0.0003201910076097765
sensor_038,0.000305635802918276
sensor_185,0.00019150267993020884
sensor_290,9.457771620337265e-05
sensor_474,7.805621459027518e-05
